price,carrier,start_date,end_date,total_stops,dep_time_outbound,dep_time_inbound,duration_outbound,duration_inbound,from,to,day_of_week,month_number,day_of_month,outbound_duration_minutes,inbound_duration_minutes,time_of_day_outbound,time_of_day_inbound,day_of_year
901,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,1:55 AM,20h 50m, 21h 20m,AMS,BKK,3,2,1,1250.0,1280.0,Morning,Early Morning,32
901,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,1:55 AM,23h 20m, 21h 20m,AMS,BKK,3,2,1,1400.0,1280.0,Morning,Early Morning,32
901,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,7:55 PM,20h 50m, 27h 20m,AMS,BKK,3,2,1,1250.0,1640.0,Morning,Morning,32
901,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,7:55 PM,23h 20m, 27h 20m,AMS,BKK,3,2,1,1400.0,1640.0,Morning,Morning,32
952,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,3:35 AM,20h 50m, 19h 40m,AMS,BKK,3,2,1,1250.0,1180.0,Morning,Early Morning,32
952,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,3:35 AM,23h 20m, 19h 40m,AMS,BKK,3,2,1,1400.0,1180.0,Morning,Early Morning,32
1391,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,1:55 AM,20h 50m, 23h 45m,AMS,BKK,3,2,1,1250.0,1425.0,Morning,Early Morning,32
1391,China Eastern,02/01/2024,02/08/2024,2,7:35 PM,1:55 AM,23h 20m, 23h 45m,AMS,BKK,3,2,1,1400.0,1425.0,Morning,Early Morning,32
1462,China Eastern,02/01/2024,02/08/2024,2,3:55 PM,1:55 AM,20h 30m, 21h 20m,AMS,BKK,3,2,1,1230.0,1280.0,Early Morning,Early Morning,32
1462,China Eastern,02/01/2024,02/08/2024,2,3:55 PM,7:55 PM,20h 30m, 27h 20m,AMS,BKK,3,2,1,1230.0,1640.0,Early Morning,Morning,32
1601,China Eastern,02/01/2024,02/08/2024,2,3:55 PM,1:55 AM,20h 30m, 23h 45m,AMS,BKK,3,2,1,1230.0,1425.0,Early Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,2:30 PM,1:05 AM,21h 35m, 17h 35m,AMS,BKK,3,2,1,1295.0,1055.0,Early Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,2:30 PM,3:10 AM,21h 35m, 15h 30m,AMS,BKK,3,2,1,1295.0,930.0,Early Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,2:30 PM,3:10 AM,21h 35m, 22h 50m,AMS,BKK,3,2,1,1295.0,1370.0,Early Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,2:30 PM,4:40 PM,21h 35m, 21h 10m,AMS,BKK,3,2,1,1295.0,1270.0,Early Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,10:00 PM,1:05 AM,14h 5m, 17h 35m,AMS,BKK,3,2,1,845.0,1055.0,Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,10:00 PM,1:05 AM,14h 40m, 17h 35m,AMS,BKK,3,2,1,880.0,1055.0,Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,10:00 PM,3:10 AM,14h 5m, 15h 30m,AMS,BKK,3,2,1,845.0,930.0,Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,10:00 PM,3:10 AM,14h 5m, 22h 50m,AMS,BKK,3,2,1,845.0,1370.0,Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,10:00 PM,3:10 AM,14h 40m, 15h 30m,AMS,BKK,3,2,1,880.0,930.0,Morning,Early Morning,32
943,Emirates,02/01/2024,02/08/2024,2,10:00 PM,3:10 AM,14h 40m, 22h 50m,AMS,BKK,3,2,1,880.0,1370.0,Morning,Early Morning,32
